stop_id,stop_code,name,description,latitude,longitude,routes,ridership,match_method,city_nbr_shelters_raw,valley_shelters_raw,valley_shelter_raw,valley_shade_raw,historical_photo_url,shelter_status
1179,13315,Camelback Rd & 55th Av,EB Camelback Rd & FS 55th Av,33.509416,-112.17705,50,79,stop_id,,0,0,,,unknown
118,13854,Bethany Home Rd & 12th St,EB Bethany Home Rd & FS 12th St,33.5236320000001,-112.055707,60,4,stop_id,,0,0,,,unknown
1180,13314,Camelback Rd & 57th Av,EB Camelback Rd & FS 57th Av,33.509446,-112.181639,50,50,stop_id,,0,0,,,unknown
1181,13313,Camelback Rd & 59th Av,EB Camelback Rd & FS 59th Av,33.5094360000001,-112.185692,50,139,stop_id,,0,0,,,unknown
1182,13312,Camelback Rd & 61st Av,EB Camelback Rd & FS 61st Av,33.5094040000001,-112.191161,50,15,stop_id,,0,0,,,unknown
1183,13311,Camelback Rd & 63rd Av,EB Camelback Rd & FS 63rd Av,33.509353,-112.194713,50,39,stop_id,,0,0,,,unknown
1184,13336,Camelback Rd & 7th Av,EB Camelback Rd & FS 7th Av,33.5090490000001,-112.081847,50,70,stop_id,,0,0,,,unknown
1185,13329,Camelback Rd & I-17 Fwy,EB Camelback Rd & FS I-17 Fwy,33.5094090000001,-112.110818,50,12,stop_id,,0,0,,,unknown
1186,13320,Camelback Rd & 43rd Av,EB Camelback Rd & FS 43rd Av,33.5092990000001,-112.15088,50,119,stop_id,,0,0,,,unknown
1187,13321,Camelback Rd & 40th Av,EB Camelback Rd & FS 40th Av,33.5093170000001,-112.144996,50,74,stop_id,,0,0,,,unknown
1188,13327,Camelback Rd & 29th Av,EB Camelback Rd & NS 29th Av,33.5093570000001,-112.121573,50,17,stop_id,,0,0,,,unknown
119,13855,Bethany Home Rd & 13th Pl,EB Bethany Home Rd & FS 13th Pl,33.523627,-112.052251,60,0,stop_id,,0,0,,,unknown
1198,18471,Deer Valley Rd & 3rd Av,EB Deer Valley Rd & FS 3rd Av,33.6835810000001,-112.077324,7,4,stop_id,,0,0,,,unknown
120,13851,Bethany Home Rd & 3rd St,EB Bethany Home Rd & FS 3rd St,33.523672,-112.069091,60,0,stop_id,,0,0,,,unknown
1203,18472,Deer Valley Rd & Central Av,EB Deer Valley Rd & FS Central Av,33.6835970000001,-112.073699,7,3,stop_id,,0,0,,,unknown
121,13852,Bethany Home Rd & 7th St,EB Bethany Home Rd & FS 7th St,33.5236420000001,-112.064388,60,14,stop_id,,0,0,,,unknown
122,13850,Bethany Home Rd & Central Av,EB Bethany Home Rd & FS Central Av,33.523691,-112.07304,60,6,stop_id,,0,0,,,unknown
1223,12260,Cheryl Dr & 33rd Av,EB Cheryl Dr & FS 33rd Av,33.578043,-112.129326,35,18,stop_id,,0,0,,,unknown
1224,12261,Cheryl Dr & 3161 West,EB Cheryl Dr & AT 3161 West,33.576289,-112.127195,35,7,stop_id,,0,0,,,unknown
1226,11732,Country Gables Dr & 31st Av,EB Country Gables Dr & FS 31st Av,33.6209940000001,-112.124124,27,2,stop_id,,0,0,,,unknown
1227,18473,7th St & Deer Valley Rd,SB 7th St & FS Deer Valley Rd,33.6831930000001,-112.065883,7,5,stop_id,,0,0,,,unknown
1228,18474,7th St & Lone Cactus Dr,SB 7th St & FS Lone Cactus Dr,33.6796870000001,-112.065815,7,2,stop_id,,0,0,,,unknown
1229,10194,Dobbins Rd & 10th Av,EB Dobbins Rd & FS 10th Av,33.363071,-112.085735,0,5,stop_id,,0,0,,,unknown
123,13085,Broadway Rd & 41st St,EB Broadway Rd & FS 41st St,33.407185,-111.992485,45,4,stop_id,,0,0,,,unknown
1230,10193,Dobbins Rd & 15th Av,EB Dobbins Rd & FS 15th Av,33.363048,-112.091432,0,2,stop_id,,0,0,,,unknown
1231,10196,Dobbins Rd & Montezuma St,EB Dobbins Rd & NS Montezuma St,33.3631280000001,-112.079807,0,2,stop_id,,0,0,,,unknown
1232,10697,Dunlap Av & 2nd Dr,EB Dunlap Av & FS 2nd Dr,33.567578,-112.076566,"90, 8",3,stop_id,,0,0,,,unknown
1233,18475,7th St & Rose Garden Ln,SB 7th St & FS Rose Garden Ln,33.6759940000001,-112.06581,7,3,stop_id,,0,0,,,unknown
1234,15256,Dunlap Av & 11th Av,EB Dunlap Av & FS 11th Av,33.567456,-112.086572,90,0,stop_id,,0,0,,,unknown
1235,15255,Dunlap Av & 15th Av,EB Dunlap Av & FS 15th Av,33.5674690000001,-112.090742,90,1,stop_id,,0,0,,,unknown
1236,15254,Dunlap Av & 17th Av,EB Dunlap Av & FS 17th Av,33.567485,-112.094245,90,4,stop_id,,0,0,,,unknown
1237,15253,Dunlap Av & 19th Av,EB Dunlap Av & FS 19th Av,33.5674730000001,-112.099004,90,169,stop_id,,0,0,,,unknown
1238,18065,Dunlap Av & 23rd Av,EB Dunlap Av & FS 23rd Av,33.567389,-112.107768,90,14,stop_id,,0,0,,,unknown
1239,11101,Dunlap Av & 25th Av,EB Dunlap Av & FS 25th Av,33.567396,-112.111922,90,30,stop_id,,0,0,,,unknown
1240,11714,Dunlap Av & 31st Av,EB Dunlap Av & FS 31st Av,33.5674550000001,-112.125184,"90, 27",14,stop_id,,0,0,,,unknown
1241,18476,7th St & Irma Ln,SB 7th St & FS Irma Ln,33.6727490000001,-112.0658,7,4,stop_id,,0,0,,,unknown
1242,15251,Dunlap Av & 35th Av,EB Dunlap Av & FS 35th Av,33.5674310000001,-112.133325,90,88,stop_id,,0,0,,,unknown
1243,15250,Dunlap Av & 37th Av,EB Dunlap Av & FS 37th Av,33.5674270000001,-112.137957,90,7,stop_id,,0,0,,,unknown
